Rank,Release,Gross,Theaters,Total_Gross,Release Date,Distributor
,2018 Re-release,,,,,
126,The Kitchen,"$12,180,032 ","2,745","$12,180,032 ",9-Aug,Warner Bros.
127,After,"$12,138,565 ","2,138","$12,138,565 ",12-Apr,Aviron Pictures
128,Blinded by the Light,"$11,901,145 ","2,307","$11,901,145 ",16-Aug,Warner Bros.
129,The Lighthouse,"$10,772,524 ",978,"$10,867,104 ",18-Oct,A24
130,Dark Waters,"$10,633,879 ","2,112","$11,136,084 ",22-Nov,Focus Features
131,Greta,"$10,532,219 ","2,417","$10,532,219 ",1-Mar,Focus Features
132,The Best of Enemies,"$10,205,616 ","1,705","$10,205,616 ",5-Apr,STX Entertainment
133,Black Christmas,"$9,867,670 ","2,625","$10,429,730 ",13-Dec,Universal Pictures
134,Hotel Mumbai,"$9,651,611 ",930,"$9,651,611 ",22-Mar,Bleecker Street Media
135,Holmes & Watson,"$9,324,376 ","2,780","$30,573,626 ",25-Dec,Sony Pictures Releasing
136,Motherless Brooklyn,"$9,277,736 ","1,342","$9,277,736 ",1-Nov,Warner Bros.
137,No Manches Frida 2,"$9,270,920 ",472,"$9,270,920 ",15-Mar,Pantelion Films
138,"Where'd You Go, Bernadette","$9,198,356 ","2,404","$9,198,356 ",16-Aug,United Artists Releasing
139,Apollo 11,"$9,039,891 ",588,"$9,039,891 ",1-Mar,Neon
140,Serenity,"$8,547,045 ","2,561","$8,547,045 ",25-Jan,Aviron Pictures
141,Anna,"$7,743,794 ","2,114","$7,743,794 ",21-Jun,Lionsgate
142,Penguins,"$7,699,452 ","1,815","$7,699,452 ",17-Apr,Walt Disney Studios Motion Pictures
143,Brittany Runs a Marathon,"$7,189,808 ","1,033","$7,189,808 ",23-Aug,Amazon Studios
144,Mary Queen of Scots,"$6,742,269 ","1,052","$16,468,499 ",7-Dec,Focus Features
145,The Dead Don't Die,"$6,563,605 ",690,"$6,563,605 ",14-Jun,Focus Features
146,Jexi,"$6,546,159 ","2,332","$6,546,159 ",11-Oct,Lionsgate
147,Run the Race,"$6,424,420 ","1,075","$6,424,420 ",22-Feb,Roadside Attractions
148,Free Solo,"$6,300,518 ",483,"$17,541,090 ",28-Sep,National Geographic Entertainment
149,The Current War: Director's Cut,"$5,979,540 ","1,082","$5,979,540 ",25-Oct,101 Studios
150,Captive State,"$5,958,315 ","2,549","$5,958,315 ",15-Mar,Focus Features
151,The Wandering Earth,"$5,875,487 ",129,"$5,875,487 ",5-Feb,CMC Pictures
152,Arctic Dogs,"$5,801,249 ","2,844","$5,801,249 ",1-Nov,Entertainment Studios Motion Pictures
153,Gloria Bell,"$5,611,123 ","1,127","$5,611,123 ",8-Mar,A24
154,Gully Boy,"$5,566,534 ",270,"$5,566,534 ",14-Feb,-
155,Stan & Ollie,"$5,386,243 ",754,"$5,470,235 ",28-Dec,Sony Pictures Classics
156,The Goldfinch,"$5,332,621 ","2,542","$5,332,621 ",13-Sep,Warner Bros.
157,Don't Let Go,"$5,215,062 ",922,"$5,215,062 ",30-Aug,-
158,The Mustang,"$5,043,620 ",527,"$5,043,620 ",15-Mar,Focus Features
159,The Sun Is Also a Star,"$4,950,029 ","2,073","$4,950,029 ",17-May,Warner Bros.
160,Bring The Soul: The Movie,"$4,809,800 ",873,"$4,809,800 ",7-Aug,Trafalgar Releasing
161,Pavarotti,"$4,600,249 ",288,"$4,600,249 ",7-Jun,CBS Films
162,Tolkien,"$4,535,154 ","1,501","$4,535,154 ",10-May,Fox Searchlight Pictures
163,The Last Black Man in San Francisco,"$4,515,719 ",207,"$4,515,719 ",7-Jun,A24
164,War,"$4,486,000 ",305,"$4,654,000 ",2-Oct,Yash Raj Films
165,Cold War,"$4,427,217 ",270,"$4,580,048 ",21-Dec,Amazon Studios
,2018 Re-release,,,,,
166,Menteur,"$4,403,322 ",89,"$4,697,364 ",12-Jul,Entertainment One
167,Brian Banks,"$4,376,819 ","1,240","$4,376,819 ",9-Aug,Bleecker Street Media
168,The Biggest Little Farm,"$4,366,949 ",285,"$4,366,949 ",10-May,Neon
169,Dr. Seuss' The Grinch,"$4,340,540 ","4,141","$270,620,950 ",9-Nov,Universal Pictures
170,Amazing Grace,"$4,335,184 ",263,"$4,450,456 ",7-Dec,Neon
171,Linda Ronstadt: The Sound of My Voice,"$4,240,509 ",247,"$4,252,657 ",6-Sep,Greenwich Entertainment
172,Uri: The Surgical Strike,"$4,186,168 ",132,"$4,186,168 ",11-Jan,-
,2019 Re-release,,,,,
173,Replicas,"$4,046,429 ","2,329","$4,046,429 ",11-Jan,Entertainment Studios Motion Pictures
174,Pain and Glory,"$3,873,727 ",266,"$4,566,056 ",4-Oct,Sony Pictures Classics
175,Ne Zha,"$3,695,533 ",135,"$3,695,533 ",29-Aug,Well Go USA Entertainment
176,Mission Mangal,"$3,659,413 ",263,"$3,659,413 ",15-Aug,FIP
177,The Oscar Nominated Short Films 2019: Documentary,"$3,531,094 ",415,"$3,531,094 ",8-Feb,Shorts International
178,BTS World Tour: Love Yourself in Seoul,"$3,509,917 ",997,"$3,509,917 ",26-Jan,Fathom Events
179,The Beach Bum,"$3,502,600 ","1,100","$3,502,600 ",29-Mar,Neon
180,Echo in the Canyon,"$3,355,324 ",147,"$3,355,324 ",24-May,Greenwich Entertainment
181,Creed II,"$3,267,369 ","3,752","$115,715,889 ",21-Nov,Metro-Goldwyn-Mayer (MGM)
182,Jay and Silent Bob Reboot,"$3,258,814 ",788,"$4,589,490 ",15-Oct,Saban Films
183,Maiden,"$3,164,840 ",180,"$3,168,978 ",28-Jun,Sony Pictures Classics
