Rank,Release,Gross,Theaters,Total_Gross,Release Date,Distributor
586,Storm Boy,"$71,760 ",56,"$71,760 ",5-Apr,Good Deed Entertainment
587,Free Trip to Egypt,"$71,087 ",447,"$71,087 ",12-Jun,Fathom Events
,2019 Re-release,,,,,
588,The Battle of Jangsari,"$70,853 ",20,"$70,853 ",4-Oct,Well Go USA Entertainment
589,Styx,"$70,794 ",17,"$70,794 ",27-Feb,Film Movement
,2018 Re-release,,,,,
590,Batman Returns,"$70,642 ",507,"$70,642 ",6-May,Fathom Events
,2019 Re-release,,,,,
591,Edie,"$70,138 ",11,"$71,611 ",6-Sep,Music Box Films
592,Diamantino,"$70,088 ",5,"$70,088 ",24-May,Kino Lorber
593,The Body,"$68,196 ",78,"$68,196 ",13-Dec,Eros International
594,The Silence of Others,"$67,986 ",6,"$67,986 ",8-May,Argot Pictures
595,The Divine Move 2: The Wrathful,"$67,578 ",10,"$67,578 ",15-Nov,CJ Entertainment
596,Being Frank,"$67,343 ",13,"$67,343 ",14-Jun,The Film Arcade
597,Cunningham,"$65,446 ",23,"$265,014 ",13-Dec,Magnolia Pictures
598,This Changes Everything,"$64,988 ",367,"$64,988 ",22-Jul,Fathom Events
599,End of the Century,"$64,880 ",6,"$66,309 ",16-Aug,The Cinema Guild
600,Beautiful Boy,"$62,360 ",776,"$7,649,973 ",12-Oct,Amazon Studios
601,Sauvage / Wild,"$61,604 ",7,"$61,604 ",10-Apr,Strand Releasing
602,The Mountain,"$61,385 ",15,"$61,035 ",26-Jul,Kino Lorber
603,Last Year at Marienbad,"$60,884 ",5,"$63,425 ",17-May,Janus Films
,2019 Re-release,,,,,
604,By the Grace of God,"$60,748 ",11,"$66,260 ",18-Oct,Music Box Films
605,John Fogerty: 50 Year Trip - Live at Red Rocks,"$59,795 ",459,"$59,795 ",11-Nov,Fathom Events
606,Mickey and the Bear,"$57,188 ",22,"$57,188 ",15-Nov,Utopia
607,Heavy Water,"$55,446 ",284,"$55,446 ",13-Jun,Fathom Events
608,Maria By Callas,"$53,405 ",149,"$1,267,301 ",2-Nov,Sony Pictures Classics
,2018 Re-release,,,,,
609,The Hate U Give,"$53,108 ","2,375","$29,719,483 ",5-Oct,Twentieth Century Fox
610,Plácido Domingo Gala,"$52,502 ",217,"$52,502 ",7-Sep,Fathom Events
611,One Cut of the Dead,"$52,406 ",7,"$52,406 ",13-Sep,Variance Films
612,QT8: The First Eight,"$51,896 ",459,"$51,896 ",21-Oct,Fathom Events
613,Greener Grass,"$51,456 ",36,"$51,456 ",18-Oct,IFC Films
614,"Cyrano, My Love","$51,419 ",18,"$351,019 ",8-Feb,Roadside Attractions
615,Making Waves: The Art of Cinematic Sound,"$51,254 ",11,"$53,144 ",25-Oct,Matson Films
616,Ophelia,"$50,722 ",58,"$50,722 ",28-Jun,IFC Films
617,Clinton Road,"$50,400 ",10,"$50,400 ",14-Jun,Nocturnal Features
618,"Love, Antosha","$50,168 ",10,"$50,168 ",2-Aug,-
619,Free Trip to Egypt,"$49,693 ",5,"$49,693 ",31-May,-
620,The Bounty Killer,"$48,815 ",15,"$48,815 ",25-Jan,Indican Pictures
621,The Final Wish,"$48,095 ",150,"$25,183 ",24-Jan,Fathom Events
622,The Queen,"$47,818 ",7,"$47,818 ",28-Jun,Kino Lorber
623,Becoming Astrid,"$47,684 ",16,"$120,486 ",23-Nov,Music Box Films
624,Under the Silver Lake,"$46,083 ",2,"$46,083 ",19-Apr,A24
625,Sympathy for the Devil,"$45,927 ",8,"$51,150 ",29-Nov,-
626,¡He matado a mi marido!,"$45,777 ",11,"$45,777 ",1-Mar,-
627,High on the Hog,"$45,696 ",6,"$45,696 ",19-Apr,Indican Pictures
628,The Proposal,"$45,149 ",6,"$45,149 ",24-May,Oscilloscope
629,What Is Democracy?,"$44,536 ",6,"$44,536 ",16-Jan,Zeitgeist Films
630,Maze,"$44,381 ",9,"$44,381 ",22-Mar,Lightyear Entertainment
,2019 Re-release,,,,,
631,American Dharma,"$44,376 ",11,"$51,891 ",1-Nov,Utopia
632,Carmine Street Guitars,"$44,253 ",5,"$44,253 ",24-Apr,Abramorama
633,The Star,"$43,510 ",623,"$43,510 ",7-Dec,Sony Pictures Releasing
,2019 Re-release,,,,,
634,Fagara,"$43,417 ",13,"$43,417 ",13-Sep,China Lion Film Distribution
635,Immortal Hero,"$43,007 ",12,"$43,007 ",18-Oct,Freestyle Releasing
636,Vita & Virginia,"$42,741 ",32,"$42,741 ",23-Aug,IFC Films
637,For Sama,"$41,633 ",4,"$43,796 ",26-Jul,PBS Distribution
638,Midnight Traveler,"$41,265 ",7,"$41,265 ",18-Sep,Oscilloscope
639,Clemency,"$40,736 ",127,"$364,716 ",27-Dec,Neon
640,Charlie Says,"$40,685 ",38,"$40,685 ",10-May,IFC Films
641,Slut in a Good Way,"$40,513 ",7,"$40,513 ",28-Mar,Comedy Dynamics
642,Aniara,"$40,124 ",19,"$40,124 ",17-May,Magnolia Pictures
643,Zilla and Zoe,"$39,003 ",5,"$39,003 ",17-May,Indican Pictures
644,Shed of the Dead,"$38,901 ",10,"$38,901 ",17-May,Indican Pictures
645,The Raft,"$38,723 ",8,"$39,678 ",7-Jun,Metrograph Pictures
646,The Cave,"$38,153 ",10,"$62,625 ",18-Oct,National Geographic Entertainment
647,Batman Forever,"$38,014 ",434,"$38,014 ",12-May,Fathom Events
,2019 Re-release,,,,,
648,Union,"$37,362 ",6,"$41,656 ",2-Aug,Indican Pictures
649,The Quiet One,"$37,010 ",13,"$37,010 ",21-Jun,IFC Films
650,The Death of Dick Long,"$36,856 ",30,"$36,856 ",27-Sep,A24
651,The Sower,"$36,233 ",5,"$36,233 ",1-Mar,Film Movement
652,Buñuel in the Labyrinth of the Turtles,"$36,205 ",8,"$36,205 ",16-Aug,GKIDS
653,Yardie,"$36,012 ",77,"$36,012 ",15-Mar,Rialto Pictures
654,Britt-Marie Was Here,"$35,680 ",11,"$36,549 ",20-Sep,Cohen Media Group
655,Loro,"$35,613 ",11,"$35,613 ",20-Sep,IFC Films
656,White Snake,"$34,730 ",21,"$34,730 ",15-Nov,GKIDS
657,Love Live! Sunshine!! The School Idol Movie: Over The Rainbow,"$34,135 ",30,"$34,135 ",5-Aug,FUNimation Entertainment
658,The Wild Pear Tree,"$34,014 ",5,"$34,014 ",30-Jan,The Cinema Guild
659,Killer Unicorn,"$33,901 ",5,"$33,901 ",14-Jun,Indican Pictures
660,Moonlight Sonata: Deafness in Three Movements,"$33,841 ",12,"$33,823 ",13-Sep,Abramorama
661,An Elephant Sitting Still,"$32,556 ",2,"$32,556 ",8-Mar,-
662,Knife + Heart,"$32,516 ",6,"$32,516 ",15-Mar,Altered Innocence
663,An Acceptable Loss,"$32,427 ",25,"$32,427 ",18-Jan,IFC Films
664,10E,"$32,413 ",2,"$32,413 ",27-Sep,-
665,Ága,"$31,982 ",3,"$35,178 ",4-Sep,Big World Pictures
666,Desolation Center,"$31,965 ",10,"$32,016 ",13-Sep,Matson Films
667,Gift,"$31,618 ",10,"$31,588 ",11-Oct,Matson Films
668,Buddy,"$31,203 ",4,"$31,203 ",20-Mar,Grasshopper Film
669,Horn from the Heart: The Paul Butterfield Story,"$30,815 ",2,"$58,597 ",17-Oct,Abramorama
670,Pasolini,"$30,757 ",4,"$30,757 ",10-May,Kino Lorber
,2019 Re-release,,,,,
671,Space Station 3D,"$30,655 ",64,"$93,383,953 ",19-Apr,IMAX
672,Sorry Angel,"$30,628 ",4,"$30,628 ",15-Feb,Strand Releasing
673,Los Reyes,"$30,418 ",4,"$30,418 ",16-Aug,Grasshopper Film
674,The Nun,"$30,245 ",5,"$30,245 ",4-Jan,Rialto Pictures
675,Deep Sea,"$30,181 ",47,"$46,412,757 ",3-Mar,Warner Bros.
676,Lionel Richie at Glastonbury,"$30,123 ",288,"$30,123 ",19-Nov,Fathom Events
677,The Ground Beneath My Feet,"$29,585 ",4,"$29,251 ",26-Jul,Strand Releasing
678,Vault,"$29,491 ",2,"$29,491 ",7-Jun,-
679,Recorder: The Marion Stokes Project,"$28,681 ",5,"$55,142 ",15-Nov,Zeitgeist Films
680,Batman & Robin,"$28,597 ",429,"$28,597 ",14-May,Fathom Events
,2019 Re-release,,,,,
681,In the Aisles,"$28,394 ",6,"$28,394 ",14-Jun,Music Box Films
682,Hotel by the River,"$28,354 ",4,"$28,354 ",15-Feb,The Cinema Guild
683,The Wind,"$28,252 ",30,"$28,252 ",5-Apr,IFC Films
684,The Load,"$28,118 ",2,"$28,410 ",30-Aug,Grasshopper Film
685,El Norte,"$27,920 ",179,"$27,920 ",15-Sep,Fathom Events
,2019 Re-release,,,,,
686,Kind Hearts and Coronets,"$27,523 ",3,"$35,948 ",27-Nov,Rialto Pictures
,2019 Re-release,,,,,
687,"Leaving Home, Coming Home: A Portrait of Robert Frank","$27,073 ",3,"$27,073 ",29-May,Greenwich Entertainment
688,The Day Shall Come,"$26,972 ",30,"$26,972 ",27-Sep,IFC Films
689,Memory: The Origins of Alien,"$26,643 ",19,"$31,378 ",4-Oct,Screen Media Films
690,Wrestle,"$26,597 ",5,"$26,597 ",22-Feb,Oscilloscope
691,Donnybrook,"$26,284 ",80,"$26,284 ",15-Feb,IFC Films
692,Neither Wolf Nor Dog,"$25,413 ",1,"$589,289 ",20-Jan,-
693,Asako I & II,"$25,328 ",3,"$25,559 ",17-May,Grasshopper Film
694,Return of the Hero,"$25,004 ",3,"$37,108 ",30-Aug,Distrib Films
695,Invisible Life,"$24,219 ",18,"$146,535 ",20-Dec,Amazon Studios
696,Chasing Einstein,"$24,057 ",4,"$24,057 ",13-Sep,Atlas Distribution Company
697,Vox Lux,"$24,054 ",325,"$727,119 ",7-Dec,Neon
698,Piranhas,"$23,494 ",10,"$23,494 ",2-Aug,Music Box Films
699,Wildlife,"$22,999 ",105,"$1,050,616 ",19-Oct,IFC Films
700,Celebration,"$22,557 ",1,"$22,557 ",2-Oct,-
701,Night School,"$22,550 ","3,019","$77,339,130 ",28-Sep,Universal Pictures
702,Hyènes,"$22,444 ",4,"$24,672 ",19-Apr,Metrograph Pictures
703,Light from Light,"$22,331 ",5,"$23,629 ",1-Nov,Grasshopper Film
704,Island of Lemurs: Madagascar,"$22,310 ",302,"$11,272,213 ",4-Apr,Warner Bros.
705,Jane and Emma,"$22,261 ",29,"$380,030 ",12-Oct,Excel Entertainment
706,Wicked Witches,"$21,600 ",10,"$21,600 ",9-Aug,Nocturnal Features
707,The Hole in the Ground,"$21,072 ",24,"$21,072 ",1-Mar,A24
708,Redoubt,"$20,878 ",3,"$32,944 ",1-Nov,Grasshopper Film
709,The Gospel of Eureka,"$20,578 ",3,"$20,039 ",8-Feb,Kino Lorber
710,The All Americans,"$20,322 ",5,"$20,324 ",8-Nov,Abramorama
711,Light of My Life,"$20,056 ",68,"$20,056 ",9-Aug,Saban Films
712,General Magic,"$20,046 ",5,"$20,046 ",10-May,Gravitas Ventures
713,The Sound of Silence,"$20,013 ",31,"$20,013 ",13-Sep,IFC Films
714,Prassthanam,"$19,984 ",32,"$19,984 ",20-Sep,-
715,The Perfect Race,"$19,809 ",2,"$29,644 ",14-Oct,Five & Two Pictures
716,Armstrong,"$19,740 ",45,"$19,740 ",12-Jul,Gravitas Ventures
717,Girls of the Sun,"$19,712 ",11,"$19,712 ",12-Apr,Cohen Media Group
718,Out of Blue,"$18,779 ",35,"$18,779 ",22-Mar,IFC Films
719,Black Mother,"$18,762 ",4,"$18,762 ",9-Mar,Grasshopper Film
720,Before Stonewall,"$18,724 ",2,"$18,724 ",21-Jun,First Run
721,The Return of Martin Guerre,"$18,603 ",2,"$18,603 ",5-Jul,Cohen Media Group
,2019 Re-release,,,,,
722,Midnight Diner,"$18,555 ",13,"$18,555 ",20-Sep,Well Go USA Entertainment
723,"Phoenix, Oregon","$18,356 ",6,"$18,356 ",2-May,Joma Films
,Pre-Release Tour,,,,,
724,The Cranes Are Flying,"$17,923 ",2,"$17,923 ",12-Jul,Janus Films
725,The House That Jack Built,"$17,763 ",32,"$87,993 ",14-Dec,IFC Films
,2018 Re-release,,,,,
726,Citizen K,"$17,704 ",15,"$120,411 ",22-Nov,Greenwich Entertainment
727,Ode to Joy,"$17,303 ",16,"$17,303 ",9-Aug,IFC Films
728,Scandalous: The True Story of the National Enquirer,"$17,085 ",13,"$18,759 ",15-Nov,Magnolia Pictures
729,Joseph Pulitzer: Voice of the People,"$16,970 ",5,"$16,970 ",1-Mar,First Run
730,Ballon,"$16,792 ",5,"$31,957 ",6-Sep,Distrib Films
731,Too Late to Die Young,"$16,591 ",4,"$16,591 ",31-May,-
732,Tremors,"$16,516 ",6,"$23,911 ",29-Nov,Film Movement
733,Chained for Life,"$16,456 ",3,"$17,431 ",13-Sep,Kino International
734,Three Peaks,"$16,216 ",7,"$16,216 ",28-Jun,Greenwich Entertainment
735,Virginia Minnesota,"$16,118 ",2,"$16,118 ",1-Mar,Indican Pictures
736,Piercing,"$15,856 ",18,"$15,856 ",1-Feb,Greenwich Entertainment
737,Starfish,"$15,849 ",6,"$15,849 ",15-Mar,Yellow Veil Pictures
738,Little Joe,"$15,801 ",12,"$23,862 ",6-Dec,Magnolia Pictures
739,To the Arctic 3D,"$15,800 ",52,"$14,560,838 ",20-Apr,Warner Bros.
740,A Private War,"$15,792 ",865,"$1,633,208 ",2-Nov,Aviron Pictures
741,Airpocalypse,"$15,719 ",21,"$105,678 ",21-Dec,China Lion Film Distribution
742,Trinity Seven The Movie 2: Heavens Library & Crimson Lord,"$15,712 ",95,"$15,712 ",29-Mar,Atlas Distribution Company
743,Midnight Family,"$15,537 ",13,"$42,310 ",6-Dec,1091 Media
744,Galapagos,"$15,222 ",14,"$18,630,372 ",29-Oct,IMAX
745,Funan,"$15,152 ",5,"$15,152 ",7-Jun,GKIDS
746,El Angel,"$15,127 ",11,"$109,608 ",9-Nov,The Orchard
747,Wrinkles the Clown,"$14,938 ",21,"$14,938 ",4-Oct,Magnolia Pictures
748,ZZ Top: That Little Ol' Band from Texas,"$14,879 ",8,"$14,879 ",19-Aug,Abramorama
749,Frank and Ava,"$14,820 ",3,"$18,829 ",7-Dec,Hannover House
750,Our Time,"$14,777 ",4,"$14,777 ",14-Jun,Monument Releasing
751,The Competition,"$14,588 ",7,"$15,622 ",22-Feb,Metrograph Pictures
,2019 Re-release,,,,,
752,Boy Erased,"$14,490 ",672,"$6,788,692 ",2-Nov,Focus Features
753,Combat Obscura,"$14,242 ",11,"$14,242 ",15-Mar,Oscilloscope
754,Screwball,"$13,967 ",13,"$13,967 ",29-Mar,Greenwich Entertainment
755,Touch Me Not,"$13,782 ",1,"$13,782 ",11-Jan,Kino Lorber
756,My Son,"$13,782 ",5,"$14,450 ",10-May,Cohen Media Group
,2019 Re-release,,,,,
757,This One's for the Ladies,"$13,688 ",21,"$13,688 ",7-Jun,-
758,First Man,"$13,510 ","3,640","$44,936,545 ",12-Oct,Universal Pictures
759,The Cat Rescuers,"$13,384 ",3,"$31,540 ",5-Jul,Balcony Releasing
760,The House with a Clock in Its Walls,"$13,295 ","3,592","$68,549,695 ",21-Sep,Universal Pictures
761,Rapid Response,"$13,294 ",10,"$13,294 ",6-Sep,Atlas Distribution Company
762,Hagazussa,"$13,253 ",14,"$13,253 ",19-Apr,Doppelganger Releasing
763,The Woman Who Loves Giraffes,"$12,616 ",22,"$105,790 ",4-Oct,Zeitgeist Films
764,Off Season,"$12,544 ",2,"$12,544 ",15-Mar,Indican Pictures
765,The White Sheik,"$12,384 ",3,"$50,512 ",25-Dec,Rialto Pictures
,2019 re-release,,,,,
766,Journey to the South Pacific,"$12,209 ",19,"$7,653,913 ",27-Nov,IMAX
767,Bricked,"$12,201 ",7,"$12,201 ",24-Jan,GathrFilms
768,Zen for Nothing,"$12,107 ",4,"$12,107 ",29-Mar,Zeitgeist Films
769,Imprisoned,"$12,050 ",2,"$12,050 ",13-Sep,Cinema Libre Studio
770,Quartet,"$12,042 ",1,"$12,042 ",3-May,Cohen Media Group
771,"Cassandro, The Exotico!","$11,897 ",4,"$11,897 ",19-Jul,Film Movement
772,Liyana,"$11,895 ",4,"$44,045 ",10-Oct,Abramorama
773,The Charmer,"$11,695 ",3,"$26,167 ",5-Dec,Film Movement
774,The Disappearance of My Mother,"$11,636 ",3,"$24,951 ",6-Dec,Kino Lorber
775,Stuffed,"$11,561 ",3,"$15,532 ",16-Oct,Music Box Films
776,Vision Portraits,"$11,440 ",3,"$10,771 ",9-Aug,-
777,That Part Feeling - the Universe of Arvo Part,"$11,385 ",3,"$8,812 ",3-Jun,Film Movement
778,Between the Lines,"$11,366 ",18,"$15,383 ",22-Feb,Cohen Media Group
779,Yomeddine,"$11,308 ",4,"$11,308 ",31-May,Strand Releasing
780,In Like Flynn,"$11,255 ",27,"$11,255 ",25-Jan,Blue Fox Entertainment
781,Made Me Do It,"$11,151 ",2,"$11,151 ",12-Apr,Indican Pictures
782,Ferrante Fever,"$11,137 ",3,"$11,137 ",8-Mar,Greenwich Entertainment
783,I Do Not Care If We Go Down in History as Barbarians,"$11,014 ",2,"$11,307 ",19-Jul,Big World Pictures
784,Suburban Birds,"$10,997 ",3,"$10,997 ",5-Apr,The Cinema Guild
785,16 Bars,"$10,985 ",4,"$10,985 ",8-Nov,Lightyear Entertainment
786,If the Dancer Dances,"$10,912 ",6,"$10,912 ",26-Apr,Monument Releasing
787,Duet for Cannibals,"$10,902 ",4,"$12,722 ",22-Nov,Metrograph Pictures
,2019 re-release,,,,,
788,Shooting the Mafia,"$10,793 ",3,"$10,881 ",22-Nov,Cohen Media Group
789,Angels Are Made Of Light,"$10,697 ",2,"$7,919 ",26-Jul,Grasshopper Film
790,Daughter of Mine,"$10,628 ",2,"$10,628 ",1-Feb,Strand Releasing
791,The Eyes of Orson Welles,"$10,253 ",2,"$10,253 ",15-Mar,Janus Films
792,Round of Your Life,"$10,228 ",9,"$20,941 ",21-Jun,Ammo Content
793,Around India with a Movie Camera,"$10,101 ",1,"$10,389 ",30-Nov,Icarus Films
794,Olivia,"$9,934 ",3,"$9,934 ",16-Aug,Icarus Films
795,Streetwise,"$9,904 ",1,"$9,904 ",19-Jul,Janus Films
796,Tyrel,"$9,832 ",5,"$21,456 ",7-Dec,Magnolia Pictures
797,Fritz Lang's Indian Epic,"$9,818 ",1,"$9,345 ",27-Sep,Film Movement
,2019 re-release,,,,,
798,The Spanish Prisoner,"$9,589 ",1,"$9,589 ",26-Apr,Ammo Content
,2019 Re-release,,,,,
799,Studio 54,"$9,355 ",14,"$199,767 ",5-Oct,Zeitgeist Films
800,When Lambs Become Lions,"$9,337 ",2,"$9,337 ",22-Nov,Oscilloscope
801,Cracked Up,"$9,197 ",1,"$9,197 ",13-Sep,Abramorama
802,Frantz Fanon: Black Skin White Mask,"$9,025 ",1,"$9,025 ",15-Mar,Film Movement
803,Colossal Youth,"$8,331 ",1,"$8,331 ",3-Aug,-
804,The Dead Center,"$8,320 ",10,"$8,320 ",11-Oct,Arrow Films
805,The Etruscan Smile,"$8,213 ",4,"$8,213 ",8-Nov,Lightyear Entertainment
,2019 release,,,,,
806,Grass,"$8,084 ",2,"$8,084 ",19-Apr,The Cinema Guild
807,Wings of Desire,"$7,947 ",4,"$123,830 ",19-Oct,Janus Films
,2018 Re-release,,,,,
808,This Magnificent Cake!,"$7,888 ",2,"$7,888 ",1-Mar,GKIDS
809,Ghost Fleet,"$7,850 ",7,"$7,850 ",7-Jun,Abramorama
810,The Plagiarists,"$7,768 ",1,"$7,768 ",28-Jun,-
811,Gregory's Girl,"$7,710 ",1,"$7,710 ",4-Oct,Film Movement
812,I'll Take Your Dead,"$7,692 ",5,"$7,692 ",5-Jul,-
813,King of Thieves,"$7,518 ",11,"$7,518 ",25-Jan,Saban Films
814,Life and Nothing More,"$7,488 ",6,"$24,358 ",24-Oct,CFI Releasing
815,Border,"$7,477 ",74,"$771,930 ",26-Oct,Neon
816,Beloved Beast,"$7,052 ",3,"$7,301 ",11-Oct,Indican Pictures
817,Rosie,"$6,839 ",2,"$6,839 ",19-Jul,Blue Fox Entertainment
818,Genesis,"$6,784 ",2,"$6,784 ",23-Aug,Film Movement
819,Going Attractions: The Definitive Story of the Movie Palace,"$6,763 ",6,"$6,763 ",24-Oct,-
820,Dying to Survive,"$6,752 ",2,"$6,752 ",9-Aug,China Lion Film Distribution
,2019 Re-release,,,,,
821,Hollywould,"$6,598 ",2,"$11,888 ",15-Nov,Indican Pictures
822,"One Nation, One King","$6,576 ",5,"$6,576 ",28-Feb,Distrib Films
823,"Monrovia, Indiana","$6,457 ",14,"$63,944 ",26-Oct,Zipporah Films
824,Of Fathers and Sons,"$6,308 ",6,"$12,579 ",16-Nov,Kino Lorber
825,Under the Eiffel Tower,"$6,291 ",11,"$6,291 ",8-Feb,The Orchard
826,Patrick the Pug,"$6,290 ",100,"$6,290 ",15-Feb,-
827,To Be of Service,"$6,173 ",1,"$6,173 ",1-Nov,First Run
828,The Golden Glove,"$6,160 ",5,"$6,160 ",27-Sep,Strand Releasing
829,Relaxer,"$6,133 ",5,"$6,133 ",29-Mar,Oscilloscope
830,The Hottest August,"$6,129 ",2,"$9,163 ",15-Nov,Grasshopper Film
831,Kedarnath,"$5,751 ",113,"$901,131 ",7-Dec,-
832,The Meanest Man in Texas,"$5,750 ",3,"$8,850 ",17-May,Ammo Content
833,Love Goes Public,"$5,700 ",-,"$5,700 ",25-Oct,Aspiration Entertainment
834,Série noire,"$5,633 ",1,"$5,633 ",27-Sep,Rialto Pictures
835,The Miracle of the Little Prince,"$5,553 ",1,"$5,553 ",28-Aug,Film Movement
836,Halloween,"$5,505 ","3,990","$159,342,015 ",19-Oct,Universal Pictures
837,Spiral Farm,"$5,475 ",3,"$6,517 ",13-Dec,Indican Pictures
838,Anna and the Apocalypse,"$5,329 ",138,"$545,597 ",30-Nov,Orion Pictures
839,Chokehold,"$5,200 ",3,"$5,200 ",1-Mar,Ammo Content
840,Body at Brighton Rock,"$5,123 ",9,"$5,123 ",26-Apr,Magnolia Pictures
841,Intuitions,"$5,111 ",3,"$10,606 ",25-Oct,Indican Pictures
842,Cold Blood,"$5,083 ",25,"$5,083 ",5-Jul,Screen Media Films
843,Chulas Fronteras,"$5,021 ",1,"$5,021 ",28-Jun,Argot Pictures
844,The Garden,"$5,006 ",1,"$5,006 ",29-May,Kino Lorber
845,Malek,"$4,898 ",4,"$4,898 ",18-Jan,Entertainment One
846,Un traductor,"$4,879 ",2,"$13,509 ",19-Oct,Film Movement
847,Crepitus,"$4,846 ",2,"$4,846 ",31-Oct,Indican Pictures
848,Ballet Blanc,"$4,832 ",2,"$4,832 ",8-Nov,Indican Pictures
849,Kaili Blues,"$4,687 ",4,"$32,164 ",20-May,Grasshopper Film
850,What You Gonna Do When the World's on Fire?,"$4,672 ",1,"$4,672 ",16-Aug,-
851,Slaughterhouse Rulez,"$4,665 ",10,"$4,665 ",17-May,Sony Pictures Releasing
852,Sicilian Ghost Story,"$4,639 ",3,"$15,285 ",30-Nov,Strand Releasing
853,At War,"$4,605 ",1,"$4,605 ",19-Jul,Cinema Libre Studio
854,I'm Leaving Now,"$4,488 ",1,"$4,488 ",6-Sep,The Cinema Guild
855,SGT. Will Gardner,"$4,405 ",12,"$4,405 ",11-Jan,Cinedigm Entertainment Group
856,Tito and the Birds,"$4,332 ",6,"$4,332 ",25-Jan,Shout! Factory
857,The Fate of Lee Khan,"$4,295 ",3,"$4,295 ",5-Apr,Film Movement
858,State Like Sleep,"$4,282 ",10,"$4,282 ",4-Jan,The Orchard
859,The Gliksmans,"$4,080 ",3,"$5,166 ",27-Sep,Indican Pictures
860,La Flor,"$4,032 ",1,"$4,032 ",9-Aug,Grasshopper Film
861,Mother of a Day,"$3,919 ",1,"$3,919 ",4-May,Sumbadhat Productions
862,Crown Vic,"$3,868 ",1,"$3,868 ",8-Nov,Screen Media Films
863,Wallflower,"$3,801 ",7,"$3,801 ",4-Oct,-
864,The Wandering Soap Opera,"$3,624 ",2,"$3,624 ",17-May,The Cinema Guild
865,Rottentail,"$3,383 ",3,"$3,383 ",12-Apr,Ammo Content
866,Another Day of Life,"$3,190 ",2,"$3,190 ",13-Sep,GKIDS
867,Bauhaus Spirit: 100 Years of Bauhaus,"$3,148 ",2,"$17,122 ",10-Feb,Icarus Films
868,A Cool Fish,"$3,134 ",36,"$551,876 ",16-Nov,China Lion Film Distribution
869,Chasing Portraits,"$3,076 ",1,"$3,076 ",26-Apr,First Run
870,Filmworker,"$3,016 ",17,"$102,609 ",11-May,Kino Lorber
871,100 Acres of Hell,"$2,916 ",1,"$5,152 ",11-Oct,Indican Pictures
872,The Kindness of Strangers,"$2,705 ",3,"$2,705 ",6-Dec,-
873,Back to the Fatherland,"$2,697 ",1,"$2,697 ",14-Jun,First Run
874,L'héritage de la chouette,"$2,602 ",1,"$12,316 ",9-Nov,Icarus Films
875,"No Date, No Signature","$2,567 ",3,"$36,444 ",1-Aug,Distrib Films
876,Joan the Maid 1: The Battles,"$2,562 ",1,"$2,562 ",2-Aug,Cohen Media Group
877,Chef Flynn,"$2,507 ",10,"$68,407 ",9-Nov,Kino Lorber
878,TINY: The Life of Erin Blackwell,"$2,465 ",1,"$2,465 ",19-Jul,Janus Films
879,I Lost Albert,"$2,354 ",1,"$2,354 ",4-Oct,Distrib Films
,2019 Re-release,,,,,
880,Tea With the Dames,"$2,190 ",71,"$889,343 ",21-Sep,IFC Films
881,Iceman,"$2,138 ",7,"$2,138 ",15-Mar,Film Movement
882,Detour,"$2,128 ",1,"$16,172 ",30-Nov,Janus Films
883,Jihadists,"$2,104 ",1,"$2,104 ",25-Jan,Cinema Libre Studio
884,Divide and Conquer: The Story of Roger Ailes,"$1,977 ",16,"$38,510 ",7-Dec,Magnolia Pictures
885,A German Youth,"$1,834 ",1,"$2,343 ",11-Oct,Big World Pictures
886,A Fish in the Bathtub,"$1,826 ",3,"$1,826 ",8-Nov,Cohen Media Group
,2019 re-release,,,,,
887,Little Q,"$1,652 ",1,"$1,652 ",6-Dec,Well Go USA Entertainment
888,Game Day,"$1,624 ",4,"$1,624 ",4-Oct,Ammo Content
889,For Those Who Don't Read Me,"$1,585 ",6,"$36,506 ",23-Nov,Entertainment One
890,American Playhouse: The Killing Floor,"$1,583 ",1,"$1,583 ",22-Nov,Film Movement
891,Indivisible,"$1,581 ",830,"$3,511,417 ",26-Oct,Pure Flix Entertainment
892,Owaranai hito: Miyazaki Hayao,"$1,449 ",377,"$187,320 ",13-Dec,GKIDS
893,The Hours and Times,"$1,273 ",1,"$1,273 ",1-Mar,Oscilloscope
894,Chinese Portrait,"$1,158 ",2,"$4,140 ",13-Dec,The Cinema Guild
895,Narcissister Organ Player,"$1,018 ",4,"$15,334 ",7-Nov,Film Movement
896,The Untold Story,$790 ,1,$790 ,18-Jan,Ammo Content
897,Senso,$737 ,2,"$27,723 ",26-Oct,Rialto Pictures
898,Serendipity,$717 ,2,"$2,298 ",18-Oct,Cohen Media Group
899,Swimming with Men,$630 ,31,"$24,708 ",7-Dec,IFC Films
900,Sgt. Stubby: An American Hero,$612 ,"1,633","$4,015,935 ",13-Apr,-
901,I Am Not A Witch,$550 ,8,"$50,868 ",7-Sep,Film Movement
902,Hold Your Breath,$371 ,12,"$77,987 ",10-Aug,Entertainment One
903,In Safe Hands,$348 ,1,"$1,737 ",26-Jul,Distrib Films
904,Henchmen,$297 ,3,"$1,469 ",7-Dec,Entertainment One
905,1945,$236 ,19,"$1,006,193 ",1-Nov,Menemsha Films
906,Tall Tales from the Magical Garden of Antoon Krings,$220 ,20,$220 ,11-Jan,-
,2018 Re-release,,,,,
907,Over the Limit,$117 ,2,"$3,243 ",12-Oct,Film Movement
